,n_topics,alpha,beta,coherence
179,5,10.0,2.0,0.5619997921033479
180,6,0.05,0.01,0.510664811761297
181,6,0.05,0.2,0.5272910196934495
182,6,0.05,0.4,0.5471614479210385
183,6,0.05,0.8,0.560622291966277
184,6,0.05,2.0,0.5624169607610118
185,6,0.1,0.01,0.5113097156274762
186,6,0.1,0.2,0.515342844744828
187,6,0.1,0.4,0.5374273619477806
188,6,0.1,0.8,0.5602229279442645
189,6,0.1,2.0,0.5771776174020599
190,6,0.2,0.01,0.5303515398668699
191,6,0.2,0.2,0.5215857953962523
192,6,0.2,0.4,0.5475427654448639
193,6,0.2,0.8,0.561090657196644
194,6,0.2,2.0,0.5784976842046898
195,6,0.4,0.01,0.5118249567918383
196,6,0.4,0.2,0.5505179838655896
197,6,0.4,0.4,0.557528958890069
198,6,0.4,0.8,0.5863401100387581
199,6,0.4,2.0,0.5977731462399107
200,6,0.5,0.01,0.5004414503774794
201,6,0.5,0.2,0.5321653052031836
202,6,0.5,0.4,0.5690955313154039
203,6,0.5,0.8,0.5683116734000923
204,6,0.5,2.0,0.5817714836822439
205,6,1.0,0.01,0.500971223914113
206,6,1.0,0.2,0.5390890498161287
207,6,1.0,0.4,0.5716201836911079
208,6,1.0,0.8,0.5704121193336654
209,6,1.0,2.0,0.5622435881024265
210,6,2.0,0.01,0.5191940892867385
211,6,2.0,0.2,0.5634847155865955
212,6,2.0,0.4,0.5744661821941138
213,6,2.0,0.8,0.5803695930187501
214,6,2.0,2.0,0.5747811343448097
215,6,5.0,0.01,0.528206092493976
216,6,5.0,0.2,0.5900764975649716
217,6,5.0,0.4,0.5992415342102925
218,6,5.0,0.8,0.6004062022986346
219,6,5.0,2.0,0.5908126082516528
220,6,10.0,0.01,0.5138561808955328
221,6,10.0,0.2,0.5755473138083445
222,6,10.0,0.4,0.5771674440045039
223,6,10.0,0.8,0.576460651711984
224,6,10.0,2.0,0.5608459924805583
225,7,0.05,0.01,0.45821555768123634
226,7,0.05,0.2,0.5105921295926085
227,7,0.05,0.4,0.5086854070067784
228,7,0.05,0.8,0.558512665948712
229,7,0.05,2.0,0.5515821939278824
230,7,0.1,0.01,0.465787193337221
231,7,0.1,0.2,0.4943421755204636
232,7,0.1,0.4,0.5265752689755077
233,7,0.1,0.8,0.5483009024260533
234,7,0.1,2.0,0.5410527045215697
235,7,0.2,0.01,0.480724984991236
236,7,0.2,0.2,0.5334178399443923
237,7,0.2,0.4,0.5608927949580929
238,7,0.2,0.8,0.5565204434285898
239,7,0.2,2.0,0.5629099314992219
240,7,0.4,0.01,0.4555210116160443
241,7,0.4,0.2,0.5445868895228488
242,7,0.4,0.4,0.5658552860430776
243,7,0.4,0.8,0.562205713439978
244,7,0.4,2.0,0.5418132278102475
245,7,0.5,0.01,0.47344071282651207
246,7,0.5,0.2,0.5379456246246158
247,7,0.5,0.4,0.5594139916808444
248,7,0.5,0.8,0.5636230040470632
249,7,0.5,2.0,0.5617334829569692
250,7,1.0,0.01,0.48916424484140714
251,7,1.0,0.2,0.5402064378685413
252,7,1.0,0.4,0.5575308835925153
253,7,1.0,0.8,0.5427188400629113
254,7,1.0,2.0,0.5401675782598868
255,7,2.0,0.01,0.5117693738793957
256,7,2.0,0.2,0.560488847847703
257,7,2.0,0.4,0.5697655588662572
258,7,2.0,0.8,0.5723476208909453
259,7,2.0,2.0,0.5686948937326817
260,7,5.0,0.01,0.5179319181466528
261,7,5.0,0.2,0.5797493859674347
262,7,5.0,0.4,0.5803384866033333
263,7,5.0,0.8,0.5858238165825966
264,7,5.0,2.0,0.5841026005023544
265,7,10.0,0.01,0.52450288590111
266,7,10.0,0.2,0.5535722505566874
267,7,10.0,0.4,0.5559986975580993
268,7,10.0,0.8,0.5567574455598086
269,7,10.0,2.0,0.5435859069694047
